unitid,inst_name,unique_flag,note,source_url,source_kind
172440,Finlandia University,true,"Finnish American Historical Archive at the Finnish American Heritage Center (FAHC), historically part of Finlandia / Suomi College (archive est. 1932). After the 2023 closure, Finlandia Foundation National became caretaker (offer accepted 15 Jun 2023) and purchased the FAHC building and North Wind Books (announced Jan 2024). Surviving public destination: FAHC, 435 Quincy St., Hancock, MI — FAHC describes the largest Finnish-North American collection, including Finnish-American artwork and two 1642 Christina Bibles. Distinct from the closed Sulo and Aileen Maki circulating library (libraries.org 2443). IPEDS book counts are the university library survey, not FAHC item counts.",https://fahc.finlandiafoundation.org/archive/,transfer+FAHC
192925,Medaille University,true,"Institutional/historical archives including library special archival materials transferred to Niagara University (legacy institution), effective 1 Sep 2023. Niagara publishes a Medaille Archives inventory; dissertations through summer 2023 are at Niagara Library. OCLC symbol YJT on libraries.org (NCES LIBID 192925). This is an archive-transfer claim, not a count of circulating volumes.",https://library.niagara.edu/archives,transfer+OCLC
461759,Simmons College of Kentucky,true,"Named HBCU holdings: Simmons Digital Archive / Special Collections (academic catalogs, Simmonola yearbooks, historical photographs, publications on Simmons and African American life in Louisville). Institutional archives held at the University of Louisville since 1974 were returned to Simmons in April 2025 (Simmonola, General Association of Baptists in Kentucky records, photos, papers, artifacts). Do not confuse with Simmons University (Boston) OCLC SCL.",https://simmonscollegeky.libguides.com/home/specialcollections,libguides+transfer
209603,Pacific Northwest College of Art,true,"Named holdings: Pacific Northwest Artists Archive at Willamette University Archives (PNCA is now part of Willamette). Related WorldCat identity is Willamette Hatfield Library OCLC OWS / Registry 2445 (Willamette UNITID 210401), not a PNCA-owned OCLC symbol.",https://library.willamette.edu/archives/,campus+libraries.org
201751,Chatfield College,true,"College-history archive compiled in the Chatfield library (Ursuline Sr. Patricia Homan). After closure the school became The Chatfield Edge; Ursuline Sisters of Brown County Archives (Fayetteville, OH) preserve the Chatfield/Ursuline educational legacy. Former SEO Library Consortium shared-automation member (ILL/catalog context, not a rare-book claim). libraries.org 26045 (NCES LIBID 201751).",https://www.ursulinesofbc.org/our-legacy,news+consortium
238430,Cardinal Stritch University,false,"Cardinal Stritch University Library is listed permanently closed on libraries.org (id 4269; NCES LIBID 238430). libraries.org reports a circulating academic collection; IPEDS AL shows 120,280 physical books (2021). No public transfer notice for a named special collection or surviving archive destination was found in WorldCat/ArchiveGrid/libraries.org/news. No distinctive special collections found in WorldCat/public sources.",https://librarytechnology.org/library/4269,libraries.org
115728,Holy Names University,false,"Paul J. Cushing Library (libraries.org 11216; NCES LIBID 115728) closed with the university; historically a SCELC member on WorldShare. Dominican University of California is the transcript/records custodian — that is student records, not a documented transfer of the book collection. No distinctive named special collections found in WorldCat/public sources.",https://librarytechnology.org/library/11216,libraries.org
219295,Presentation College,false,"Student records transferred to St. Ambrose University (not a library-collection claim). South Dakota State University Archives holds some Presentation College collected publications. No distinctive special collections for the campus library were found in WorldCat/public sources.",https://www.presentationsisters.org/college-alumni/,records-vs-collections
222938,The Art Institute of Houston,false,"Art Institutes circulating library supporting the art/design curriculum. libraries.org lists the campus library permanently closed (id 61744; NCES LIBID 222938). No named special collection or rare-book area found in WorldCat/public sources.",https://librarytechnology.org/library/61744,libraries.org
138813,The Art Institute of Atlanta,false,"Art Institutes circulating library supporting the art/design curriculum. libraries.org lists the campus library permanently closed (id 194468; NCES LIBID 138813). No named special collection or rare-book area found in WorldCat/public sources.",https://librarytechnology.org/library/194468,libraries.org
134811,AI Miami International University of Art and Design,false,"Art Institutes circulating library supporting the art/design curriculum (IPEDS AL 24,588 physical books in 2021). No named special collection or rare-book area found in WorldCat/public sources.",https://librarytechnology.org/libraries/,worldcat-negative
