state_abbr,year,hs_graduates
AK,2009,8197.0
AK,2010,8442.0
AK,2011,8282.0
AK,2012,8158.0
AK,2013,8058.0
AK,2014,7855.0
AK,2015,8470.0
AK,2016,8295.0
AK,2017,8527.0
AK,2018,8589.0
AK,2019,8612.0
AK,2020,8108.0
AK,2021,8174.0
AK,2022,8150.0
AK,2023,8328.0
AK,2024,8502.0
AK,2025,8722.0
AK,2026,8879.0
AK,2027,8956.0
AK,2028,8728.0
AK,2029,8876.0
AK,2030,8878.0
AK,2031,8855.0
AK,2032,8983.0
AK,2033,8850.0
AK,2034,9008.0
AK,2035,8334.0
AK,2036,8008.0
AK,2037,7806.0
AK,2038,7527.0
AK,2039,7462.0
AK,2040,7449.0
AK,2041,7170.0
AL,2009,47359.0
AL,2010,48128.0
AL,2011,50756.0
AL,2012,50137.0
AL,2013,48998.0
AL,2014,50745.0
AL,2015,50738.0
AL,2016,51976.0
AL,2017,54540.0
AL,2018,55331.0
AL,2019,52925.0
AL,2020,54466.0
AL,2021,53739.0
AL,2022,52181.0
AL,2023,52954.0
AL,2024,52615.0
AL,2025,55021.0
AL,2026,55546.0
AL,2027,54669.0
AL,2028,53629.0
AL,2029,52987.0
AL,2030,52926.0
AL,2031,52747.0
AL,2032,53246.0
AL,2033,54537.0
AL,2034,56906.0
AL,2035,55235.0
AL,2036,54033.0
AL,2037,54927.0
AL,2038,54024.0
AL,2039,54607.0
AL,2040,54560.0
AL,2041,54262.0
AR,2009,29387.0
AR,2010,29569.0
AR,2011,29700.0
AR,2012,29965.0
AR,2013,30526.0
AR,2014,32498.0
AR,2015,32136.0
AR,2016,32612.0
AR,2017,33014.0
AR,2018,33531.0
AR,2019,34014.0
AR,2020,34604.0
AR,2021,33705.0
AR,2022,33693.0
AR,2023,33861.0
AR,2024,33580.0
AR,2025,36169.0
AR,2026,35867.0
AR,2027,35380.0
AR,2028,34501.0
AR,2029,34121.0
AR,2030,34255.0
AR,2031,34374.0
AR,2032,34456.0
AR,2033,34546.0
AR,2034,35598.0
AR,2035,34497.0
AR,2036,33987.0
AR,2037,33457.0
AR,2038,32236.0
AR,2039,33023.0
AR,2040,32539.0
AR,2041,32330.0
AZ,2009,65129.0
AZ,2010,63608.0
AZ,2011,67118.0
AZ,2012,66036.0
AZ,2013,65218.0
AZ,2014,65733.0
AZ,2015,68831.0
AZ,2016,73226.0
AZ,2017,75965.0
AZ,2018,76552.0
AZ,2019,77873.0
AZ,2020,77005.0
AZ,2021,74911.0
AZ,2022,76808.0
AZ,2023,82942.0
AZ,2024,84208.0
AZ,2025,85639.0
AZ,2026,85942.0
AZ,2027,84970.0
AZ,2028,83135.0
AZ,2029,83422.0
AZ,2030,84186.0
AZ,2031,85714.0
AZ,2032,88175.0
AZ,2033,87214.0
AZ,2034,89551.0
AZ,2035,85262.0
AZ,2036,84154.0
AZ,2037,82695.0
AZ,2038,80140.0
AZ,2039,81375.0
AZ,2040,81912.0
AZ,2041,81428.0
CA,2009,407566.0
CA,2010,441065.0
CA,2011,444848.0
CA,2012,452205.0
CA,2013,454826.0
CA,2014,456458.0
CA,2015,463893.0
CA,2016,468449.0
CA,2017,470869.0
CA,2018,478819.0
CA,2019,477479.0
CA,2020,467260.0
CA,2021,473448.0
CA,2022,492544.0
CA,2023,477531.0
CA,2024,480572.0
CA,2025,469214.0
CA,2026,466446.0
CA,2027,444238.0
CA,2028,445976.0
CA,2029,443486.0
CA,2030,435481.0
CA,2031,429038.0
CA,2032,423289.0
CA,2033,412692.0
CA,2034,407933.0
CA,2035,402356.0
CA,2036,387734.0
CA,2037,377402.0
CA,2038,355122.0
CA,2039,355743.0
CA,2040,355261.0
CA,2041,339022.0
CO,2009,50297.0
CO,2010,52149.0
CO,2011,53014.0
CO,2012,52793.0
CO,2013,53488.0
CO,2014,54164.0
CO,2015,54738.0
CO,2016,57414.0
CO,2017,58317.0
CO,2018,60962.0
CO,2019,61237.0
CO,2020,63204.0
CO,2021,64869.0
CO,2022,63277.0
CO,2023,64096.0
CO,2024,64439.0
CO,2025,65716.0
CO,2026,65391.0
CO,2027,63691.0
CO,2028,61712.0
CO,2029,61061.0
CO,2030,60300.0
CO,2031,59920.0
CO,2032,60568.0
CO,2033,59673.0
CO,2034,60923.0
CO,2035,59557.0
CO,2036,57987.0
CO,2037,57574.0
CO,2038,56270.0
CO,2039,57765.0
CO,2040,57315.0
CO,2041,56457.0
CT,2009,41201.0
CT,2010,40996.0
CT,2011,44813.0
CT,2012,44698.0
CT,2013,44797.0
CT,2014,45430.0
CT,2015,45097.0
CT,2016,44837.0
CT,2017,44726.0
CT,2018,45216.0
CT,2019,45222.0
CT,2020,44901.0
CT,2021,44540.0
CT,2022,44962.0
CT,2023,44185.0
CT,2024,44149.0
CT,2025,45634.0
CT,2026,44448.0
CT,2027,43502.0
CT,2028,42638.0
CT,2029,42437.0
CT,2030,42528.0
CT,2031,42391.0
CT,2032,42838.0
CT,2033,44273.0
CT,2034,45136.0
CT,2035,43091.0
CT,2036,42453.0
CT,2037,41920.0
CT,2038,41169.0
CT,2039,43898.0
CT,2040,43364.0
CT,2041,42405.0
DC,2009,4856.0
DC,2010,4927.0
DC,2011,4990.0
DC,2012,5524.0
DC,2013,5776.0
DC,2014,5085.0
DC,2015,4758.0
DC,2016,4654.0
DC,2017,4495.0
DC,2018,4757.0
DC,2019,4662.0
DC,2020,5077.0
DC,2021,5148.0
DC,2022,5190.0
DC,2023,5747.0
DC,2024,5919.0
DC,2025,6652.0
DC,2026,7252.0
DC,2027,7447.0
DC,2028,7818.0
DC,2029,8325.0
DC,2030,8699.0
DC,2031,8832.0
DC,2032,9013.0
DC,2033,9461.0
DC,2034,9282.0
DC,2035,9072.0
DC,2036,8780.0
DC,2037,8661.0
DC,2038,8487.0
DC,2039,8246.0
DC,2040,7694.0
DC,2041,7529.0
DE,2009,9756.0
DE,2010,9852.0
DE,2011,9817.0
DE,2012,10027.0
DE,2013,9857.0
DE,2014,9790.0
DE,2015,9470.0
DE,2016,9636.0
DE,2017,10138.0
DE,2018,10262.0
DE,2019,9861.0
DE,2020,10667.0
DE,2021,10644.0
DE,2022,11054.0
DE,2023,11178.0
DE,2024,11195.0
DE,2025,11939.0
DE,2026,11807.0
DE,2027,11980.0
DE,2028,12015.0
DE,2029,12152.0
DE,2030,12106.0
DE,2031,12228.0
DE,2032,12250.0
DE,2033,12544.0
DE,2034,13106.0
DE,2035,12597.0
DE,2036,12300.0
DE,2037,12206.0
DE,2038,12030.0
DE,2039,12191.0
DE,2040,12546.0
DE,2041,12087.0
FL,2009,171716.0
FL,2010,171236.0
FL,2011,175553.0
FL,2012,171711.0
FL,2013,177464.0
FL,2014,178850.0
FL,2015,186278.0
FL,2016,192110.0
FL,2017,203147.0
FL,2018,213187.0
FL,2019,215797.0
FL,2020,223891.0
FL,2021,217330.0
FL,2022,214692.0
FL,2023,221601.0
FL,2024,229700.0
FL,2025,234996.0
FL,2026,238645.0
FL,2027,234868.0
FL,2028,233367.0
FL,2029,242266.0
FL,2030,234121.0
FL,2031,230548.0
FL,2032,244711.0
FL,2033,244946.0
FL,2034,251173.0
FL,2035,251771.0
FL,2036,247888.0
FL,2037,245600.0
FL,2038,233691.0
FL,2039,241656.0
FL,2040,250989.0
FL,2041,247409.0
GA,2009,96325.0
GA,2010,99776.0
GA,2011,100099.0
GA,2012,99145.0
GA,2013,101782.0
GA,2014,103684.0
GA,2015,115326.0
GA,2016,117594.0
GA,2017,119403.0
GA,2018,121897.0
GA,2019,126126.0
GA,2020,124712.0
GA,2021,122695.0
GA,2022,126146.0
GA,2023,128074.0
GA,2024,127805.0
GA,2025,134031.0
GA,2026,132754.0
GA,2027,131302.0
GA,2028,128606.0
GA,2029,128523.0
GA,2030,127882.0
GA,2031,128105.0
GA,2032,129213.0
GA,2033,130036.0
GA,2034,133045.0
GA,2035,131414.0
GA,2036,128150.0
GA,2037,127884.0
GA,2038,123893.0
GA,2039,125906.0
GA,2040,127936.0
GA,2041,126851.0
HI,2009,14167.0
HI,2010,13692.0
HI,2011,13476.0
HI,2012,14047.0
HI,2013,13404.0
HI,2014,14201.0
HI,2015,14345.0
HI,2016,14411.0
HI,2017,14305.0
HI,2018,14706.0
HI,2019,14100.0
HI,2020,14567.0
HI,2021,14314.0
HI,2022,14206.0
HI,2023,14290.0
HI,2024,13852.0
HI,2025,14276.0
HI,2026,13929.0
HI,2027,11184.0
HI,2028,12996.0
HI,2029,12931.0
HI,2030,12650.0
HI,2031,12551.0
HI,2032,12179.0
HI,2033,11522.0
HI,2034,11664.0
HI,2035,11450.0
HI,2036,11042.0
HI,2037,10829.0
HI,2038,10170.0
HI,2039,10106.0
HI,2040,10063.0
HI,2041,9582.0
IA,2009,36175.0
IA,2010,36611.0
IA,2011,36060.0
IA,2012,35535.0
IA,2013,34951.0
IA,2014,35431.0
IA,2015,35403.0
IA,2016,35796.0
IA,2017,36080.0
IA,2018,36735.0
IA,2019,36359.0
