unitid,inst_name,oclc_symbol,worldcat_registry_id,libraries_org_id,related_oclc_symbol,related_note,source,source_url
107123,Jefferson Regional School of Nursing,,,,,,,
115728,Holy Names University,,,11216,,,libraries.org NCES LIBID match — Paul J. Cushing Library (no OCLC symbol published),https://librarytechnology.org/library/11216
121275,Platt College-San Diego,,,,,,,
122694,San Joaquin Valley College-Bakersfield,,,,,,,
134811,AI Miami International University of Art and Design,,,,,,,
138813,The Art Institute of Atlanta,,,194468,,,libraries.org NCES LIBID match (no OCLC symbol published),https://librarytechnology.org/library/194468
149763,Oak Point University,,,,,,,
164641,Bay State College,,,,,,,
172440,Finlandia University,,,2443,,,libraries.org NCES LIBID match — Sulo and Aileen Maki Library (circulating; no OCLC symbol published),https://librarytechnology.org/library/2443
181941,Career College of Northern Nevada,,,,,,,
188687,American Academy McAllister Institute of Funeral Service,,,,,,,
192925,Medaille University,YJT,,4132,,,libraries.org NCES LIBID match,https://librarytechnology.org/library/4132
193380,Montefiore School of Nursing,,,,,,,
195702,Saint Elizabeth College of Nursing,,,,,,,
201751,Chatfield College,,,26045,,,libraries.org NCES LIBID match; former SEO Library Consortium shared automation,https://librarytechnology.org/library/26045
205559,Hussian College-Daymar College Columbus,,,,,,,
206279,Union Institute & University,,,,,,,
206394,The North Coast College,,,,,,,
209603,Pacific Northwest College of Art,,,,OWS,"After the PNCA–Willamette combination, distinctive PNCA material is described under Willamette University Archives / Hatfield Library (OCLC OWS, WorldCat Registry 2445, NCES LIBID 210401 — Willamette UNITID, not PNCA).",libraries.org related parent,https://librarytechnology.org/library/410
212993,Hussian College-Philadelphia,,,,,,,
219295,Presentation College,,,,,,,
220002,Hussian College-Daymar College Nashville,,,,,,,
222938,The Art Institute of Houston,,,61744,,,libraries.org NCES LIBID match (no OCLC symbol published),https://librarytechnology.org/library/61744
224776,Miami International University of Art & Design-Art Institute Dallas,,,,,,,
233082,Southside College of Health Sciences,,,,,,,
237598,Mountain State College,,,,,,,
238430,Cardinal Stritch University,,,4269,,,libraries.org NCES LIBID match (no OCLC symbol published),https://librarytechnology.org/library/4269
246345,Houston Graduate School of Theology,,,,,,,
262457,San Joaquin Valley College-Fresno,,,,,,,
366605,Southwest Acupuncture College-Santa Fe,,,,,,,
408729,Laurel Technical Institute,,,,,,,
418126,New York College of Health Professions,,,,,,,
422020,San Joaquin Valley College-Trades Education Center,,,,,,,
436261,Southwest Acupuncture College-Boulder,,,,,,,
437732,Chicago School of Professional Psychology-College of Nursing,,,,,,,
442426,St Louis College of Health Careers-Fenton,,,,,,,
442444,San Joaquin Valley College-Ontario,,,,,,,
443571,InterCoast Colleges-West Covina,,,,,,,
443748,Altierus Career College-Norcross,,,,,,,
444255,Hussian College-Daymar College Murfreesboro,,,,,,,
445461,Altierus Career College-Bissonnet,,,,,,,
448372,San Joaquin Valley College-Rancho Cordova,,,,,,,
450298,Strayer University-Delaware,,,,,,,
450702,Carrington College-Citrus Heights,,,,,,,
451820,The Art Institute of Austin,,,,,,,
454184,The King's College,,,,,,,
456977,CBT Technology Institute-Cutler Bay,,,,,,,
458496,The Art Institute of Virginia Beach,,,,,,,
458885,Strayer University-Arkansas,,,,,,,
458955,Strayer University-Mississippi,,,,,,,
458982,The Art Institute of San Antonio,,,,,,,
459417,Compass College of Film and Media,,,,,,,
461759,Simmons College of Kentucky,,,,,,,
467368,Carrington College-Ontario,,,,,,,
475176,San Joaquin Valley College-Temecula,,,,,,,
477233,Evangel University-James River Assembly of God Church,,,,,,,
481155,Helms College,,,,,,,
482422,DeVry University-Arizona,,,,,,,
482547,DeVry University-Nevada,,,,,,,
486433,Presidio Graduate School,,,,,,,
488068,Huntington University of Health Sciences,,,,,,,
490559,Gwinnett Institute,,,,,,,
494755,West Virginia Junior College-United Career Institute,,,,,,,
495952,San Joaquin Valley College-Rancho Mirage,,,,,,,
495961,San Joaquin Valley College-Santa Maria,,,,,,,
