unitid,inst_name,state_abbr,inst_control,year,risk_score,lib_year,lib_source,lib_physical_books,lib_digital_items,lib_expenditures,lib_fte,lib_staff_fte,lib_arl_member,lib_special_collections_note,lib_unique_flag,lib_note_url
467368,Carrington College-Ontario,CA,3.0,2022,0.986837,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.carrington.edu
206394,The North Coast College,OH,3.0,2022,0.9855989,2021.0,urban,1500.0,31.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.thencc.edu/students/library
164641,Bay State College,MA,3.0,2022,0.98456454,2021.0,urban,,311954.0,130336.0,1.0,1.65,False,Unknown — public website did not yield a usable library page for Bay State College.,False,
444255,Hussian College-Daymar College Murfreesboro,TN,3.0,2022,0.9832144,2021.0,urban,,268354.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Hussian College-Daymar College Murfreesboro.,False,
458496,The Art Institute of Virginia Beach,VA,3.0,2022,0.98313206,2021.0,urban,5911.0,369987.0,,0.5,1.5,False,Unknown — public website did not yield a usable library page for The Art Institute of Virginia Beach.,False,
451820,The Art Institute of Austin,TX,3.0,2022,0.9830996,2021.0,urban,4189.0,369987.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for The Art Institute of Austin.,False,
458982,The Art Institute of San Antonio,TX,3.0,2022,0.9824118,2021.0,urban,3887.0,369987.0,104677.0,1.0,2.0,False,Unknown — public website did not yield a usable library page for The Art Institute of San Antonio.,False,
205559,Hussian College-Daymar College Columbus,OH,3.0,2022,0.97980356,2021.0,urban,406.0,91795.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for Hussian College-Daymar College Columbus.,False,
224776,Miami International University of Art & Design-Art Institute Dallas,TX,3.0,2022,0.97945386,2021.0,urban,9012.0,369987.0,115919.0,0.0,1.0,False,Unknown — public website did not yield a usable library page for Miami International University of Art & Design-Art Institute Dallas.,False,
121275,Platt College-San Diego,CA,3.0,2022,0.9792442,2021.0,urban,500.0,11200650.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Platt College-San Diego.,False,
