unitid,opeid8,opeid6,inst_name,state_abbr,year,inst_control,sector,fte,risk_score,enr_pct_chg_5y,enr_pct_chg_1y,discount_rate,operating_margin,tuition_dependence,composite_score,composite_zone,composite_fail,miss_finance,finance_from_parent,hcm1_current,hcm2_current,hcm2_scorecard,scorecard_operating,scorecard_under_investigation,label_complete_h3,closed_or_merged_within_3_years,lib_year,lib_source,lib_physical_books,lib_digital_items,lib_expenditures,lib_fte,lib_staff_fte,lib_arl_member,lib_special_collections_note,lib_unique_flag,lib_note_url,lib_oclc_symbol,lib_worldcat_registry_id,lib_libraries_org_id
437732,2155312,21553,Chicago School of Professional Psychology-College of Nursing,TX,2022,2.0,5.0,81.0,0.9784303,-0.696629213483146,-0.5149700598802396,,,,3.0,False,False,True,False,,False,False,1.0,0.0,False,,2019.0,urban,2660.0,760356.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.thechicagoschool.edu,,,
445461,149916,1499,Altierus Career College-Bissonnet,TX,2022,2.0,5.0,260.0,0.9715673,-0.443254817987152,-0.6143642900499603,,,,,False,False,True,False,,False,,,,False,,2021.0,urban,,486207.0,,,,False,Unknown — public website did not yield a usable library page for Altierus Career College-Bissonnet.,False,,,,
481155,4206400,42064,Helms College,GA,2022,2.0,5.0,195.0,0.96693045,-0.4036697247706422,-0.1255605381165919,,,,1.6,False,False,False,False,,False,False,1.0,0.0,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.helms.edu/library/about,,,
459417,4163300,41633,Compass College of Film and Media,MI,2022,2.0,2.0,50.0,0.9663756,-0.6855345911949686,-0.2857142857142857,,,,3.0,False,False,True,False,,False,,,,False,,2021.0,urban,621.0,0.0,,0.15,0.15,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://compass.edu/students/library,,,
115728,118300,1183,Holy Names University,CA,2022,2.0,2.0,959.0,0.96193236,0.247074122236671,0.0997706422018349,,,,1.7,False,False,True,False,,False,,,,False,,2021.0,urban,37284.0,384357.0,535968.0,4.0,14.0,False,"Paul J. Cushing Library (libraries.org 11216; NCES LIBID 115728) closed with the university; historically a SCELC member on WorldShare. Dominican University of California is the transcript/records custodian — that is student records, not a documented transfer of the book collection. No distinctive named special collections found in WorldCat/public sources.",False,https://librarytechnology.org/library/11216,,,11216
443748,149917,1499,Altierus Career College-Norcross,GA,2022,2.0,5.0,319.0,0.95940113,-0.3212765957446808,-0.6143642900499603,,,,2.7,False,False,True,False,,False,,,,False,,2021.0,urban,,486207.0,,,,False,Unknown — public website did not yield a usable library page for Altierus Career College-Norcross.,False,,,,
477233,246301,2463,Evangel University-James River Assembly of God Church,MO,2022,2.0,5.0,98.0,0.95872796,,,,,,,False,False,True,False,,False,False,1.0,0.0,False,,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.evangel.edu/library/about,,,
172440,232200,2322,Finlandia University,MI,2022,2.0,2.0,450.0,0.95756143,0.2534818941504178,0.1568123393316196,,,,1.0,True,False,True,False,,False,,,,False,,2021.0,urban,50176.0,419314.0,137248.0,1.0,14.5,False,"Finnish American Historical Archive at the Finnish American Heritage Center (FAHC), historically part of Finlandia / Suomi College (archive est. 1932). After the 2023 closure, Finlandia Foundation National became caretaker (offer accepted 15 Jun 2023) and purchased the FAHC building and North Wind Books (announced Jan 2024). Surviving public destination: FAHC, 435 Quincy St., Hancock, MI — FAHC describes the largest Finnish-North American collection, including Finnish-American artwork and two 1642 Christina Bibles. Distinct from the closed Sulo and Aileen Maki circulating library (libraries.org 2443). IPEDS book counts are the university library survey, not FAHC item counts.",True,https://fahc.finlandiafoundation.org/archive/,,,2443
238430,383700,3837,Cardinal Stritch University,WI,2022,2.0,2.0,1332.0,0.95688033,-0.2132309509746013,0.4415584415584415,,,,2.2,False,False,True,False,,False,,,,False,,2021.0,urban,120280.0,341840.0,454348.0,3.0,5.4,False,"Cardinal Stritch University Library is listed permanently closed on libraries.org (id 4269; NCES LIBID 238430). libraries.org reports a circulating academic collection; IPEDS AL shows 120,280 physical books (2021). No public transfer notice for a named special collection or surviving archive destination was found in WorldCat/ArchiveGrid/libraries.org/news. No distinctive special collections found in WorldCat/public sources.",False,https://librarytechnology.org/library/4269,,,4269
201751,1088000,10880,Chatfield College,OH,2022,2.0,5.0,129.0,0.9515077,-0.3676470588235294,0.4175824175824176,,,,3.0,False,False,True,False,,False,,,,False,,2021.0,urban,15059.0,566428.0,,1.0,1.0,False,"College-history archive compiled in the Chatfield library (Ursuline Sr. Patricia Homan). After closure the school became The Chatfield Edge; Ursuline Sisters of Brown County Archives (Fayetteville, OH) preserve the Chatfield/Ursuline educational legacy. Former SEO Library Consortium shared-automation member (ILL/catalog context, not a rare-book claim). libraries.org 26045 (NCES LIBID 201751).",True,https://www.ursulinesofbc.org/our-legacy,,,26045
209603,320700,3207,Pacific Northwest College of Art,OR,2022,2.0,2.0,445.0,0.9481594,-0.03470715835141,-0.0262582056892779,,,,2.2,False,False,True,False,,False,False,1.0,0.0,False,,2020.0,urban,40267.0,105.0,227054.0,0.0,3.45,False,"Named holdings: Pacific Northwest Artists Archive at Willamette University Archives (PNCA is now part of Willamette). Related WorldCat identity is Willamette Hatfield Library OCLC OWS / Registry 2445 (Willamette UNITID 210401), not a PNCA-owned OCLC symbol.",True,https://library.willamette.edu/archives/,,,
233082,1274400,12744,Southside College of Health Sciences,VA,2022,2.0,5.0,89.0,0.94384855,-0.1442307692307692,0.0853658536585366,,,,-0.3,False,True,False,False,,False,False,1.0,0.0,False,,2022.0,urban,271.0,36630.0,,0.4,0.4,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.schs.edu/students/library,,,
